question,answers
"Who is the author of the book ""The Eternal Wonder""?",Pearl S. Buck
"Who is the author of the book ""Toda buena obra: Conectando tu trabajo con el de Dios""?",Timothy J. Keller
"Who is the author of the book ""The Screwtape Letters""?",C.S. Lewis
"Who is the author of the book ""Riot""?",Shashi Tharoor
"Who is the author of the book ""The Case of Charles Dexter Ward""?",H P Lovecraft
"Who is the author of the book ""The Harry Bosch Novels: The Black Echo / The Black Ice / The Concrete Blonde""?",Michael Connelly
"Who is the author of the book ""Hamilton: The Revolution""?",Jeremy McCarter
"Who is the author of the book ""Darkness Arisen""?",Stephanie Rowe
"Who is the author of the book ""Loving God with All Your Mind""?",Elizabeth George
"Who is the author of the book ""La trilogía de Nueva York""?",Paul Auster
"Who is the author of the book ""Leaders' Map""?",John D.H. Greenway
"Who is the author of the book ""The Slider Song Album""?",Marc Bolan
"Who is the author of the book ""Maru""?",Bessie Head
"Who is the author of the book ""Never Again Good-bye""?",Terri Blackstock
"Who is the author of the book ""Sharing Jesus without Freaking Out: Evangelism the Way You Were Born to Do It""?",Alvin L. Reid
"Who is the author of the book ""A Greyhound of a Girl""?",Roddy Doyle
"Who is the author of the book ""Jessi's Secret Language""?",Ann M. Martin
"Who is the author of the book ""Tailchaser's Song""?",Tad Williams
"Who is the author of the book ""Morning Yet on Creation Day: Essays""?",Chinua Achebe
"Who is the author of the book ""Centaur Aisle""?",Piers Anthony
"Who is the author of the book ""Lisa Jackson's Bentz & Montoya Bundle: Shiver, Absolute Fear, Lost Souls, Hot Blooded, Cold Blooded, Malice & Devious""?",Lisa Jackson
"Who is the author of the book ""Riptide""?",Douglas Preston Lincoln Child
"Who is the author of the book ""1493: How the Ecological Collision of Europe and the Americas Gave Rise to the Modern World""?",Charles C. Mann
"Who is the author of the book ""La elegancia del erizo""?",Muriel Barbery
"Who is the author of the book ""The Love of a Good Woman""?",Alice Munro
"Who is the author of the book ""Plague Ship[A Novel Of The Oregon Files]""?",Clive Cussler and Jack Du Brul
"Who is the author of the book ""Self-Made Men""?",Frederick Douglass
"Who is the author of the book ""The Accidental Billionaires: The Founding of Facebook, a Tale of Sex, Money, Genius, and Betrayal""?",Ben Mezrich
"Who is the author of the book ""The Leadership Ellipse: Shaping How We Lead by Who We Are""?",Robert A. Fryling
"Who is the author of the book ""This Is Push: New Stories from the Edge""?",Eireann Corrigan
"Who is the author of the book ""The Downhill Lie: A Hacker's Return to a Ruinous Sport""?",Carl Hiaasen
"Who is the author of the book ""The Pilot: A Tale of the Sea""?",James Fenimore Cooper
"Who is the author of the book ""A Grave Talent""?",Laurie R. King
"Who is the author of the book ""The Mouse That Roared Boxed Set""?",Leonard Wibberley
"Who is the author of the book ""Lord John and the Private Matter""?",Diana Gabaldon
"Who is the author of the book ""The Escape""?",David Baldacci
"Who is the author of the book ""Looking for Alaska""?",John Green
"Who is the author of the book ""Oathbreakers""?",Mercedes Lackey
"Who is the author of the book ""Simply Magic""?",Mary Balogh
"Who is the author of the book ""The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail""?",Clayton M. Christensen
"Who is the author of the book ""The Tin Princess""?",Philip Pullman
"Who is the author of the book ""Chasing Hillary: Ten Years, Two Presidential Campaigns, and One Intact Glass Ceiling""?",Amy Chozick
"Who is the author of the book ""The Moonspinners""?",Mary Stewart
"Who is the author of the book ""Lust For Life""?",Irving Stone
"Who is the author of the book ""Dangerous Games""?",Margaret MacMillan
"Who is the author of the book ""Foxfire: Confessions of a Girl Gang""?",Joyce Carol Oates
"Who is the author of the book ""Hilarity Ensues""?",Tucker Max
"Who is the author of the book ""Dear Antoine: Or, the Love That Failed""?",Jean Anouilh
"Who is the author of the book ""The Adventures of Sherlock Holmes""?",Arthur Conan Doyle
"Who is the author of the book ""Not Quite a Wife""?",Mary Jo Putney
"Who is the author of the book ""Full Catastrophe Living: Using the Wisdom of Your Body and Mind to Face Stress, Pain, and Illness""?",Jon Kabat-Zinn
"Who is the author of the book ""The Second Common Reader""?",Virginia Woolf
"Who is the author of the book ""El Jardín Secreto [Versión Íntegra]""?",Frances Hodgson Burnett
"Who is the author of the book ""Tempest: All-New Tales of Valdemar""?",Mercedes Lackey
"Who is the author of the book ""Economics in One Lesson: The Shortest and Surest Way to Understand Basic Economics""?",Henry Hazlitt
"Who is the author of the book ""Put Your Dream to the Test: 10 Questions That Will Help You See It and Seize It""?",John C. Maxwell
"Who is the author of the book ""Sarah""?",Orson Scott Card
"Who is the author of the book ""Warrior Politics: Why Leadership Requires a Pagan Ethos""?",Robert D. Kaplan
"Who is the author of the book ""Rosa de fuego""?",Carlos Ruiz Zafón
"Who is the author of the book ""Flashman and the Dragon""?",George MacDonald Fraser
"Who is the author of the book ""C is for Clown""?",Iain Rob Wright
"Who is the author of the book ""I Even Funnier - FREE PREVIEW EDITION (The First 13 Chapters): A Middle School Story""?",James Patterson
"Who is the author of the book ""Picture Perfect""?",Jodi Picoult
"Who is the author of the book ""The Graveyard of the Hesperides""?",Lindsey Davis
"Who is the author of the book ""Frost and Fire""?",Ray Bradbury
"Who is the author of the book ""The Jeeves & Wooster Series: The Glorious Adventures of Bertie Wooster & His Valet Reginald Jeeves: Leave it to Jeeves, Jeeves and the Unbidden Guest, ... the Springtime, Aunt Agatha Takes the Count""?",P.G. Wodehouse
"Who is the author of the book ""Windmills of the Gods""?",Sidney Sheldon
"Who is the author of the book ""The Short History of a Prince""?",Jane Hamilton
"Who is the author of the book ""Discrimination and Disparities""?",Thomas Sowell
"Who is the author of the book ""Acheron""?",Sherrilyn Kenyon
"Who is the author of the book ""Los ojos de mi princesa""?",Carlos Cuauhtémoc Sánchez
"Who is the author of the book ""La invención de Morel""?",Adolfo Bioy Casares
"Who is the author of the book ""The Best American Science and Nature Writing 2014""?",Deborah Blum
"Who is the author of the book ""La Force De l'Age""?",Simone de Beauvoir
"Who is the author of the book ""The Ministry of Fear""?",Graham Greene
"Who is the author of the book ""A Little History Of Philosophy""?",Nigel Warburton
"Who is the author of the book ""Magician's End""?",Raymond E. Feist
"Who is the author of the book ""Feminist Theory: From Margin to Center""?",Bell Hooks
"Who is the author of the book ""Ship of Magic""?",Robin Hobb
"Who is the author of the book ""The Historian""?",Elizabeth Kostova
"Who is the author of the book ""Inside the Mind of Gideon Rayburn""?",Sarah Miller
"Who is the author of the book ""Exemplary Stories""?",Miguel de Cervantes Saavedra
"Who is the author of the book ""Canoeing in the Wilderness""?",Henry David Thoreau
"Who is the author of the book ""The Car""?",Gary Paulsen
"Who is the author of the book ""The Western Canon""?",Harold Bloom
"Who is the author of the book ""The Hunter""?",Tom Wood
"Who is the author of the book ""A Good Woman""?",Danielle Steel
"Who is the author of the book ""The Art of Listening""?",Erich Fromm
"Who is the author of the book ""Best Food Writing 2010""?",Holly Hughes
"Who is the author of the book ""Depression: A Stubborn Darkness--Light for the Path""?",Edward T. Welch
"Who is the author of the book ""The Devil's Waters""?",David L. Robbins
"Who is the author of the book ""The Black Company""?",Glen Cook
"Who is the author of the book ""الشحاذ""?",Naguib Mahfouz
"Who is the author of the book ""You Make Me""?",Erin McCarthy
"Who is the author of the book ""The Mark and the Void: A Novel""?",Paul Murray
"Who is the author of the book ""Rich Dad's Who Took My Money?: Why Slow Investors Lose and Fast Money Wins!""?",Robert T. Kiyosaki
"Who is the author of the book ""Easy Go""?",John Lange
"Who is the author of the book ""Leota's Garden""?",Francine Rivers
"Who is the author of the book ""The real life of Sebastian Knight""?",Vladimir Nabokov
"Who is the author of the book ""Rick Steves Spain 2015""?",Rick Steves
"Who is the author of the book ""The Museum of Innocence""?",Orhan Pamuk
"Who is the author of the book ""Arcana Rising""?",Kresley Cole
"Who is the author of the book ""Shadowland""?",Meg Cabot
"Who is the author of the book ""A Study in Sable""?",Mercedes Lackey
"Who is the author of the book ""Hidden""?",Barbara Taylor Bradford
"Who is the author of the book ""Books, Movies, Rhythm, Blues (Penguin Special): Twenty Years of Writing about Film, Music and Books""?",Nick Hornby
"Who is the author of the book ""Pastoralia""?",George Saunders
"Who is the author of the book ""Dying Scream""?",Mary Burton
"Who is the author of the book ""The Cat Who Could Read Backwards""?",Lilian Jackson Braun
"Who is the author of the book ""Faster: The Acceleration of Just About Everything""?",James Gleick
"Who is the author of the book ""Rick Steves' Walk: Trastevere, Rome""?",Rick Steves
"Who is the author of the book ""Water for Elephants""?",Sara Gruen
"Who is the author of the book ""Happy Hour at Casa Dracula""?",Marta Acosta
"Who is the author of the book ""The Merry Adventures of Robin Hood of Great Renown in Nottinghamshire""?",Howard Pyle
"Who is the author of the book ""The Dutch House""?",Ann Patchett
"Who is the author of the book ""House of Robots: Robot Revolution""?",James Patterson
"Who is the author of the book ""Small Island""?",Andrea Levy
"Who is the author of the book ""All The Pretty Horses""?",Cormac McCarthy
"Who is the author of the book ""The Choirboys""?",Joseph Wambaugh
"Who is the author of the book ""Darkness Seduced""?",Stephanie Rowe
